participant_id,CLOSE,ASV,BIKE
P01,1 1 1,1 2 2,2 1 1
P02,1 2 2,1 2 2,1 2 2
P03,1 1 1,1 2 1,1 2 2
P04,1 2 2,1 2 2,1 1 1
P05,1 2 2,1 2 2,2 2 2
P06,1 2 2,1 2 2,1 1 2
P07,1 2 2,2 1 1,1 2 2
P08,1 2 2,1 2 2,1 2 2
P09,1 2 2,1 2 2,2 2 2
P10,1 1 1,2 2 2,1 2 2
P11,1 1 1,1 1 2,1 1 1
P12,1 2 2,1 2 2,1 1 2
P13,1 2 2,1 1 1,1 2 2
P14,1 2 2,1 2 2,2 1 1
P15,1 2 2,1 2 2,1 1 2
P16,1 2 2,1 2 2,1 2 2
P17,1 2 2,1 2 2,1 1 2
P18,1 2 2,1 2 2,1 2 2
P19,2 1 1,1 2 2,2 1 1
P20,1 2 2,1 2 2,1 2 2
P21,2 1 1,1 2 2,1 1 1
P22,2 2 2,1 1 1,2 1 2
P23,1 1 1,1 1 1,1 2 2
P24,2 1 1,1 2 2,2 1 1
P25,1 2 2,1 2 2,1 2 2
P26,1 2 2,1 2 2,1 2 2
P27,1 2 2,2 1 1,1 2 2
P28,1 2 2,2 2 2,1 2 2
P29,1 2 2,1 2 2,2 1 2
P30,1 2 2,1 2 2,1 2 1
